[2.921955944, 0.48244173]
[1.2828990169999999, 0.29917573999999997]
[2.036536747, 0.58156037]
[0.68567241, 0.21320885]
[1.4301644040000001, 0.65810804]
[1.412571089, 0.66282064]
[1.934371066, 0.45545441999999997]
[0.71801005, 0.3032043]
[1.5193316620000001, 0.7242227]
[1.48695318, 0.72450772]
[1.4883483409999998, 0.6978412700000001]
[0.424471765, 0.42683825]
[0.424288449, 0.40957531999999996]
[0.321060671, 0.30582392]
[0.32139724599999997, 0.31676603]
